Average Rejection Rate
Time
Rejection Rate

0 0.0
1000 0.0
2000 100.0
3000 91.9831223628692
4000 77.35849056603774
5000 76.53721682847896
6000 80.97886540600668
7000 80.24582967515364
8000 82.16019417475728
9000 83.71251292657705
10000 85.50087873462215
11000 87.42492492492492
12000 89.00223143130378
13000 90.95593919093017
14000 91.9558359621451
15000 93.184421534937
16000 93.91880414472567
17000 94.54573078091767
18000 95.1056578050443
19000 95.49493179827306
20000 95.80956815271796
21000 96.06126914660832
22000 96.33289192217582
23000 96.56554092730396
24000 96.76869221793376
25000 96.9586888569739
26000 97.09677419354838
27000 97.2183588317107
28000 97.36205759507584
29000 97.48040313549832
30000 97.58713136729223
31000 97.70012138248259
32000 97.76993123954655
33000 97.84469855714542
34000 97.89881917110442
35000 97.95895729339989
36000 98.03387294972485
37000 98.08488612836439
38000 98.0822330438275
39000 98.10019841269842
40000 98.10019841269842
41000 98.10019841269842
42000 98.10019841269842
43000 98.10019841269842
44000 98.10019841269842
45000 98.10019841269842
46000 98.10019841269842
47000 98.10019841269842
48000 98.10019841269842
49000 98.10019841269842
50000 98.10019841269842
51000 98.10019841269842
52000 98.10019841269842
53000 98.10019841269842
54000 98.10019841269842
55000 98.10019841269842
56000 98.10019841269842
57000 98.10019841269842
58000 98.10019841269842
59000 98.10019841269842
60000 98.10019841269842
61000 98.10019841269842
62000 98.10019841269842
63000 98.10019841269842
64000 98.10019841269842
65000 98.10019841269842
66000 98.10019841269842
67000 98.10019841269842
68000 98.10019841269842
69000 98.10019841269842
70000 98.10019841269842
71000 98.10019841269842
72000 98.10019841269842
73000 98.10019841269842
74000 98.10019841269842
75000 98.10019841269842
76000 98.10019841269842
77000 98.10019841269842
78000 98.10019841269842
79000 98.10019841269842
80000 98.10019841269842
81000 98.10019841269842
82000 98.10019841269842
83000 98.10019841269842
84000 98.10019841269842
85000 98.10019841269842
86000 98.10019841269842
87000 98.10019841269842
88000 98.10019841269842
89000 98.10019841269842
90000 98.10019841269842
91000 98.10019841269842
92000 98.10019841269842
93000 98.10019841269842
94000 98.10019841269842
95000 98.10019841269842
96000 98.10019841269842
97000 98.10019841269842
98000 98.10019841269842
99000 98.10019841269842
