Average Utilization
Time
Utilization (%)

0 0.0
1000 44.752165623831715
2000 47.51584667717417
3000 45.67574845496768
4000 44.75099375424693
5000 44.58322034369459
6000 43.60460658991229
7000 42.433535619227264
8000 41.83802599499151
9000 42.41216034676379
10000 42.403893774357456
11000 41.62331874635148
12000 42.75398966559372
13000 43.30486462458073
14000 43.82906693982326
15000 44.40628853466133
16000 44.26957420613039
17000 44.6018205345858
18000 45.7603787335046
19000 44.92813691991529
20000 46.65518961860749
21000 46.45414189410209
22000 48.09893978072957
23000 49.41320482979779
24000 48.96539684090293
25000 50.253382433402244
26000 51.28439737459042
27000 51.30742208778218
28000 52.15046963338068
29000 53.337728716837844
30000 53.21547442657156
31000 55.75853689674539
32000 54.92478402484415
33000 56.403345263964695
34000 58.13768323631529
35000 59.41800425772816
36000 60.58960017376604
37000 61.35315641527084
38000 61.99412312872109
39000 62.49302449833302
40000 61.49384870750881
41000 61.400747243964496
42000 63.17492803679515
43000 63.47351898119322
44000 64.77038246704008
45000 63.47715265104818
46000 63.57861968166478
47000 64.83755736935497
48000 66.16488158753191
49000 66.55704993303286
50000 66.83102990817524
51000 68.33597091634313
52000 67.58665064729831
53000 67.3625250340017
54000 67.16627755936136
55000 67.34576517596166
56000 66.45925332280704
57000 67.79619259884653
58000 68.59808568571195
59000 68.44522742194127
60000 69.13269357326031
61000 68.87960098314437
62000 69.96657163476371
63000 70.30866718160479
64000 69.56005145924225
65000 69.7077088948339
66000 71.06378234704135
67000 71.04365592920652
68000 71.65250715853092
69000 72.71797083984572
70000 72.0501172605466
71000 71.89603755952774
72000 73.25065362587512
73000 73.94173940193552
74000 74.58540671605242
75000 75.07843234286331
76000 74.99998360549519
77000 75.71569836645644
78000 76.15480619928609
79000 75.37763754836955
80000 75.7666664531471
81000 75.7969910213567
82000 75.33922320022637
83000 75.56162958125594
84000 75.8665505349582
85000 75.6197681425539
86000 76.76974690948873
87000 77.31525444878054
88000 77.1259430506946
89000 77.20249131349979
90000 77.29457823820435
91000 77.31016125619071
92000 77.30900256120302
93000 77.64217135992051
94000 78.04806305917003
95000 79.13300191317222
96000 79.51995746993161
97000 77.82172735089786
98000 77.1256774861069
99000 77.36670373442088
