Average Utilization
Time
Utilization (%)

0 0.0
1000 44.64969853462564
2000 46.186021639057984
3000 47.163889387971594
4000 46.685587414892275
5000 46.43240468141712
6000 45.13200072599484
7000 44.48238318926864
8000 44.64336782006763
9000 43.04375272769086
10000 42.856466072183274
11000 44.59662912520266
12000 43.933619991483866
13000 43.5013404592134
14000 44.24939550858176
15000 43.990674691334156
16000 43.78543257486976
17000 45.61627975310171
18000 46.85572542461625
19000 46.16100320634664
20000 45.53660772248988
21000 45.82033448156986
22000 45.67816759235172
23000 46.64862017933641
24000 47.046424797971945
25000 48.81558077209661
26000 49.64165706367082
27000 49.910988665546896
28000 49.76380633268818
29000 48.30165878273057
30000 50.7844828623741
31000 52.549468593800356
32000 52.75085627903798
33000 54.418830905867985
34000 54.601775047531454
35000 56.31659312561169
36000 57.96653703221017
37000 59.22385548508074
38000 59.515837123575444
39000 60.43356506941437
40000 60.95016291739844
41000 60.74082619131747
42000 60.861536065733446
43000 60.8868210821947
44000 60.74417844269319
45000 62.77631735853392
46000 61.91871218927048
47000 61.69509621769961
48000 62.18322519599748
49000 62.397968378957884
50000 62.31583051726725
51000 61.92818474923582
52000 62.092301655793825
53000 61.6957756760258
54000 61.03467355612237
55000 62.123422767080456
56000 62.68911996211786
57000 62.314865314418704
58000 63.43228674769434
59000 65.08883428177975
