Average Utilization
Time
Utilization (%)

0 0.0
1000 0.0
2000 75.61006322092616
3000 76.05574364124544
4000 77.96000206323107
5000 74.69583511001589
6000 75.05478010624279
7000 73.5571585195979
8000 73.71341389096935
9000 72.10144447085547
10000 72.46780212234256
11000 74.26977074103917
12000 77.09619387293662
13000 78.51341310452432
14000 83.7356444119699
15000 86.37500301828737
16000 87.97680541568361
17000 90.22697540355492
18000 90.92182378086565
19000 92.43446320095771
20000 92.78800415734761
21000 92.98376975811256
22000 94.8565532310036
23000 97.1338526825495
24000 96.08182028568802
25000 96.65565907400018
26000 97.10866300025548
27000 98.05193487974994
28000 97.71603315881936
29000 97.75144262663372
30000 97.82641265823548
31000 97.20290135872354
32000 97.89999420743528
33000 98.07137102031142
34000 98.0457722417308
35000 99.22294841501143
36000 99.42303565226084
37000 98.65774084476551
38000 97.80429448953006
39000 97.71197066291302
40000 97.60224617197694
41000 98.10679140829888
42000 98.18144191900888
43000 97.98744769269365
44000 98.18526952748645
45000 98.07921146622986
46000 98.02360911481625
47000 98.10386526104203
48000 98.1293653069753
49000 98.63249475340278
50000 97.95762261083897
51000 97.85226715200608
52000 97.38299521567981
53000 97.8409522778398
54000 97.96091519778801
55000 98.04744438151752
56000 97.68627948605197
57000 97.26094682769052
58000 97.88347745595941
59000 97.52012572392516
60000 97.53716573937592
61000 96.79913849719014
62000 97.74391412689285
63000 96.83567852076504
64000 96.42253600089869
65000 94.8675566128657
66000 97.55707222745978
67000 98.31915472146572
68000 98.42008042049214
69000 97.98546530399408
70000 97.90290947545014
71000 98.05027530373916
72000 97.30591374877142
73000 98.01858293367452
74000 98.24495375326057
75000 97.66616933864188
76000 97.16870221422826
77000 97.54091337503388
78000 98.11971971269497
79000 97.35693262551486
80000 97.55411781382257
81000 97.00934672089414
82000 97.50311011503008
83000 97.62453732105287
84000 97.62385954709025
85000 96.81131110602277
86000 97.74241381971562
87000 96.56172534412663
88000 97.09997613047236
89000 99.32694991102132
90000 99.07464193784801
91000 99.34243455784718
92000 99.2369535681765
93000 99.18080438764237
94000 99.26375071607808
95000 98.53172237705867
96000 98.71926946284178
97000 98.62237616706999
98000 98.39853089765117
99000 98.22949902619952
