Average Utilization
Time
Utilization (%)

0 0.0
1000 58.55800405314446
2000 60.36197073052329
3000 70.49334178149354
4000 67.70391933141188
5000 71.11587637647791
6000 71.55740954624537
7000 73.29340351849854
8000 72.44623389295488
9000 74.3805959387181
10000 73.74976804802245
11000 75.73974176438756
12000 78.22341889305983
13000 80.70682072239224
14000 83.76893802582015
15000 83.98758182402449
16000 87.43985491731782
17000 90.18055105737815
18000 94.07600855363027
19000 95.38951076398602
20000 96.10245510556524
21000 96.55503758363977
22000 97.09017817695766
23000 95.99142843091394
24000 96.72722689415383
25000 97.7494578699281
26000 97.77748252659838
27000 98.49177004767665
28000 98.23768644878824
29000 96.34920267008145
30000 96.59486129898677
31000 97.56075916984139
32000 97.52378751127112
33000 96.28426099203085
34000 97.38631902410705
35000 95.88203740844183
36000 96.34935974687498
37000 97.00631649485187
38000 97.99778399781687
39000 97.05440882484817
40000 96.33112843582546
41000 96.87180294304235
42000 97.11319142866834
43000 96.31307933642486
44000 96.34988826680188
45000 97.58426499851416
46000 96.7791674117842
47000 97.44689027832676
48000 96.79077510814697
49000 97.33493038823292
50000 96.24767153124287
51000 96.86239389856509
52000 97.58439819998272
53000 97.86702852425684
54000 98.78066435146633
55000 98.39880699201734
56000 97.276342041891
57000 97.86583648749142
58000 97.54026219257722
59000 98.79584298455897
60000 98.82834113192776
61000 97.64409983181932
62000 94.80435972329468
63000 97.62390152895496
64000 97.70676052998559
65000 98.39498596124025
66000 98.4445846432895
67000 98.00825212044056
68000 98.34993109960536
69000 98.46629379876147
70000 98.68840445533935
71000 98.08359148331786
72000 98.6694534585195
73000 98.03610766328543
74000 98.66191594950622
75000 98.53378655113951
76000 97.90004188737961
77000 98.29208430798724
78000 98.51728636465094
79000 97.83838580708081
80000 97.61517298503205
81000 98.69469374192464
82000 98.05825045835176
83000 98.2752092965703
84000 97.91327516037497
85000 98.48959633099611
86000 98.91339256917216
87000 98.22293397558266
88000 98.45287407366051
89000 97.78694043342796
90000 97.76863094553998
91000 98.44176068601145
92000 97.01750862641507
93000 98.20816060857648
94000 99.18622947104576
95000 98.34060734421126
96000 98.36263353044787
97000 98.23585194446393
98000 97.7915220391386
99000 98.40901387446637
