Average Rejection Rate
Time
Rejection Rate

0 0.0
1000 12.5
2000 30.8252427184466
3000 47.305863708399364
4000 53.05651672433679
5000 62.512007684918345
6000 66.46845061116618
7000 70.47749657149981
8000 70.62943593574897
9000 73.32938651668763
10000 73.96067748430653
11000 75.63849718962628
12000 75.97484807562458
13000 76.68347338935574
14000 76.72314469671298
15000 75.88663418244619
16000 74.79281572620563
17000 73.83091392891956
18000 73.65002030044661
19000 73.30608200173417
20000 72.74026005472287
21000 72.1508505453427
22000 71.54486629403716
23000 70.56002895141592
24000 69.74732428555666
25000 68.76795162509448
26000 68.0993941448121
27000 67.5551278296163
28000 66.86408848900078
29000 65.93701454596808
30000 65.22676050769049
31000 64.83041735900694
32000 64.19502971366828
33000 63.75537542337405
34000 63.26867829581088
35000 62.49884994019689
36000 61.96059273733919
37000 61.553585472224206
38000 61.19728035695316
39000 60.762818716727374
40000 60.11659100288899
41000 59.547772636698305
42000 59.082428200173254
43000 58.508945996031294
44000 58.16868562544536
45000 57.60937225671556
46000 57.07705323849215
47000 56.482549643917366
48000 56.02235818415288
49000 55.36238328145843
50000 54.76677548059485
51000 54.3419798232758
52000 53.92469955458442
53000 53.49093666000414
54000 53.252087996069655
55000 52.99887550636085
56000 52.57442426511889
57000 52.16985104479183
58000 51.864882057406945
59000 51.55730230288085
60000 51.17326230339929
61000 50.67627370074421
62000 50.148671703631486
63000 49.77915194346289
64000 49.40713320406604
65000 49.07403109770248
66000 48.734169974717716
67000 48.5234451815603
68000 48.303214313723295
69000 48.19796728034592
70000 47.97830538491339
71000 47.886952218617694
72000 47.64332183556739
73000 47.450000540827034
74000 47.287388452854536
75000 47.15643610935879
76000 46.937368035735126
77000 46.71656382386023
78000 46.479005346367494
79000 46.190848973033106
80000 46.037832050170806
81000 45.81706354826309
82000 45.57388859427062
83000 45.371736353825284
84000 45.15635271838849
85000 45.01231946865596
86000 44.79830559289742
87000 44.69192719588916
88000 44.508973698766
89000 44.31869752666213
90000 44.133533383345835
91000 43.96961770811032
92000 43.77328906105885
93000 43.63634699686096
94000 43.53535628924816
95000 43.37460377665195
96000 43.202200381662294
97000 43.03331525459896
98000 42.80839131239914
99000 42.616815892557355
