Average Rejection Rate
Time
Rejection Rate

0 0.0
1000 49.48453608247423
2000 71.05500450856627
3000 80.82644628099173
4000 84.77792151789565
5000 88.28150572831423
6000 90.35300458097548
7000 91.22463945245661
8000 92.61235378616868
9000 93.717277486911
10000 94.45043934021889
11000 94.74835886214443
12000 95.29596236769893
13000 95.66160520607376
14000 95.89181787059226
15000 96.11692374069679
16000 96.3888052964189
17000 96.63928304705004
18000 96.75119574045664
19000 96.95688926458158
20000 97.0963058557832
21000 97.20388349514563
22000 97.29099255022952
23000 97.36591790444136
24000 97.44045503021685
25000 97.52356056958106
26000 97.58851035404142
27000 97.62055837563452
28000 97.56396882861877
29000 97.43105179235812
30000 97.23213258142479
31000 96.93401466340813
32000 96.61982529434106
33000 96.00251151109251
34000 95.46129048764264
35000 95.01179304461283
36000 94.34496218589899
37000 93.16787637555608
38000 91.81180728342004
39000 90.19919975906726
40000 88.54394583660158
41000 87.0487650411653
42000 85.27545157535017
43000 83.93944854928816
44000 82.61486790623593
45000 81.47901176941286
46000 80.6206785656858
47000 80.05779448777305
48000 79.61775771256583
49000 79.32211300061255
50000 79.03932600152667
51000 78.74649667527615
52000 78.48023339846364
53000 78.33816273788081
54000 78.23416995795642
55000 78.14328759618498
56000 78.15021574315595
57000 78.19994739484947
58000 78.20910243764972
59000 78.23716912274217
60000 78.28561023353213
61000 78.29593189118764
62000 78.32323097759719
63000 78.35033415406261
64000 78.39333972626623
65000 78.42950727520378
66000 78.47599030604584
67000 78.49318273668985
68000 78.52740015198852
69000 78.5266818915125
70000 78.54334394308182
71000 78.52638977899981
72000 78.55351857941467
73000 78.54777382558568
74000 78.56358310959239
75000 78.53224010527381
76000 78.52592532860253
77000 78.52251962811991
78000 78.50213038346902
79000 78.4813153961136
80000 78.45212797648601
81000 78.43234258123243
82000 78.40689464757622
83000 78.38512490909449
84000 78.37499020606441
85000 78.35305142321658
86000 78.34403580463125
87000 78.30009312432097
88000 78.27676240208878
89000 78.26137262086121
90000 78.23394804145914
91000 78.21939891759106
92000 78.20972161017761
93000 78.18435700759387
94000 78.161160970021
95000 78.13751287038096
96000 78.12779735263308
97000 78.10971780868837
98000 78.09310194073258
99000 78.0875737848046
