Average Round Trip Time
Time
Average RTT

0 0.0
1000 0.0
2000 0.0
3000 0.0
4000 0.0
5000 0.0
6000 0.0
7000 0.0
8000 0.0
9000 0.0
10000 0.0
11000 0.0
12000 0.0
13000 0.0
14000 0.0
15000 0.0
16000 0.0
17000 0.0
18000 0.0
19000 0.0
20000 0.0
21000 0.0
22000 0.0
23000 0.0
24000 0.0
25000 0.0
26000 768.2797783933518
27000 771.4260752688172
28000 773.807086614173
29000 771.470551378446
30000 772.6233982157337
31000 765.4449291573451
32000 764.9937545388526
33000 753.1326270433544
34000 757.7613705738705
35000 758.1700123648493
36000 755.6372938443673
37000 750.8244580717418
38000 743.4838957469693
39000 746.7277628775169
40000 747.9697729181956
41000 747.7183286359515
42000 749.5680630803193
43000 749.6233719778207
44000 748.824927818673
45000 748.7987664707946
46000 750.6397759255647
47000 751.5605745943166
48000 751.6258591987433
49000 751.3312795171731
50000 752.2607581665584
51000 751.6994185038045
52000 751.3968303983125
53000 751.4249769701166
54000 751.2622126675136
55000 750.7587273709286
56000 750.6971668764771
57000 751.1332382215836
58000 750.9219704361897
59000 751.2973673965492
60000 751.0541871701546
61000 750.8093468965599
62000 750.8304744138088
63000 750.6027049430422
64000 750.6005899204582
65000 750.4890545602092
66000 750.3627201217572
67000 750.4249675039962
68000 750.3265297963144
69000 750.6313219238599
70000 750.8390556267433
71000 750.8774927846829
72000 750.925623204984
73000 750.8835452875857
74000 750.7803966371215
75000 750.6423163999253
76000 750.7129543812034
77000 750.9117703180106
78000 750.8012733487888
79000 750.826142505315
80000 750.8706073941205
81000 750.9489744244461
82000 751.0537766546054
83000 750.9962631813715
84000 751.167076242904
85000 751.2215766487986
86000 751.19093548209
87000 750.9771794467318
88000 751.1402861662077
89000 750.8895960469329
90000 750.9813131245176
91000 750.8480859761966
92000 750.5902735098229
93000 750.742144314251
94000 750.6673613349705
95000 750.7524052119411
96000 750.6494784509979
97000 750.6738917631957
98000 750.7632654212597
99000 750.8047079477739
