Average Utilization
Time
Utilization (%)

0.000000 0.000000 
1.000000 0.000000 
2.000000 0.000000 
3.000000 28.452529 
4.000000 27.696349 
5.000000 27.615660 
6.000000 27.602896 
7.000000 27.492896 
8.000000 27.508532 
9.000000 27.549644 
10.000000 27.545793 
11.000000 27.553419 
12.000000 27.557521 
13.000000 27.547417 
14.000000 27.544863 
15.000000 27.538368 
16.000000 27.544304 
17.000000 27.547669 
18.000000 27.545492 
19.000000 27.547061 
20.000000 27.547532 
21.000000 27.547532 
22.000000 27.547532 
23.000000 27.547532 
24.000000 27.547532 
25.000000 27.547532 
26.000000 27.547532 
27.000000 27.547532 
28.000000 27.547532 
29.000000 27.547532 
30.000000 27.548106 
31.000000 27.544599 
32.000000 27.545879 
33.000000 27.542076 
34.000000 27.548793 
35.000000 27.534499 
36.000000 27.520037 
37.000000 27.502491 
38.000000 27.504917 
39.000000 27.575401 
40.000000 27.633500 
41.000000 27.666840 
42.000000 27.683539 
43.000000 27.686497 
44.000000 27.686497 
45.000000 27.686497 
46.000000 27.686497 
47.000000 27.686497 
48.000000 27.686497 
49.000000 27.686497 
50.000000 27.686497 
51.000000 27.686497 
52.000000 27.686497 
53.000000 27.686497 
54.000000 27.686497 
55.000000 27.686497 
56.000000 27.686497 
57.000000 27.686497 
58.000000 27.686497 
59.000000 27.686497 
60.000000 27.686497 
61.000000 27.686497 
62.000000 27.686497 
63.000000 27.686497 
64.000000 27.686497 
65.000000 27.686497 
66.000000 27.686497 
67.000000 27.686497 
68.000000 27.686497 
69.000000 27.686497 
70.000000 27.686497 
71.000000 27.686497 
72.000000 27.686497 
73.000000 27.686497 
74.000000 27.686497 
75.000000 27.686497 
76.000000 27.686497 
77.000000 27.686497 
78.000000 27.686497 
79.000000 27.686497 
80.000000 27.686497 
81.000000 27.686497 
82.000000 27.686497 
83.000000 27.686497 
84.000000 27.686497 
85.000000 27.686497 
86.000000 27.686497 
87.000000 27.686497 
88.000000 27.686497 
89.000000 27.686497 
90.000000 27.686497 
91.000000 27.686497 
92.000000 27.686497 
93.000000 27.686497 
94.000000 27.686497 
95.000000 27.686497 
96.000000 27.686497 
97.000000 27.686497 
98.000000 27.686497 
99.000000 27.686497 
